Date,County,Positives,Deaths,Negatives
3/18/20,Benton,3,0,
3/18/20,Clackamas,6,0,
3/18/20,Deschutes,6,0,
3/18/20,Douglas,1,0,
3/18/20,Jackson,2,0,
3/18/20,Klamath,1,0,
3/18/20,Lane,2,1,
3/18/20,Linn,15,0,
3/18/20,Marion,8,0,
3/18/20,Multnomah,3,1,
3/18/20,Polk,1,0,
3/18/20,Umatilla,2,0,
3/18/20,Washington,23,1,
3/18/20,Yamhill,2,0,
3/19/20,Benton,2,0,
3/19/20,Clackamas,6,0,
3/19/20,Deschutes,6,0,
3/19/20,Douglas,1,0,
3/19/20,Jackson,2,0,
3/19/20,Klamath,1,0,
3/19/20,Lane,2,1,
3/19/20,Linn,18,0,
3/19/20,Marion,13,0,
3/19/20,Multnomah,7,1,
3/19/20,Polk,1,0,
3/19/20,Umatilla,2,0,
3/19/20,Washington,25,1,
3/19/20,Yamhill,2,0,
3/20/20,Benton,2,0,
3/20/20,Clackamas,10,0,
3/20/20,Deschutes,8,0,
3/20/20,Douglas,1,0,
3/20/20,Grant,1,0,
3/20/20,Jackson,2,0,
3/20/20,Klamath,1,0,
3/20/20,Lane,2,1,
3/20/20,Linn,19,0,
3/20/20,Marion,17,0,
3/20/20,Multnomah,12,1,
3/20/20,Polk,1,0,
3/20/20,Umatilla,2,0,
3/20/20,Union,1,0,
3/20/20,Washington,31,1,
3/20/20,Yamhill,4,0,
3/21/20,Baker,0,0,1
3/21/20,Benton,2,0,67
3/21/20,Clackamas,11,0,256
3/21/20,Clatsop,0,0,30
3/21/20,Columbia,0,0,32
3/21/20,Coos,0,0,30
3/21/20,Crook,0,0,5
3/21/20,Curry,0,0,11
3/21/20,Deschutes,9,0,66
3/21/20,Douglas,1,0,37
3/21/20,Gilliam,0,0,1
3/21/20,Grant,1,0,0
3/21/20,Harney,0,0,1
3/21/20,Hood River,0,0,15
3/21/20,Jackson,2,0,124
3/21/20,Jefferson,0,0,5
3/21/20,Josephine,1,0,20
3/21/20,Klamath,1,0,26
3/21/20,Lake,0,0,0
3/21/20,Lane,3,1,145
3/21/20,Lincoln,0,0,19
3/21/20,Linn,19,0,265
3/21/20,Malheur,0,0,13
3/21/20,Marion,19,1,160
3/21/20,Morrow,0,0,4
3/21/20,Multnomah,18,1,498
3/21/20,Polk,1,0,33
3/21/20,Sherman,0,0,0
3/21/20,Tillamook,0,0,8
3/21/20,Umatilla,2,0,19
3/21/20,Union,1,0,11
3/21/20,Wallowa,0,0,3
3/21/20,Wasco,0,0,8
3/21/20,Washington,42,1,330
3/21/20,Wheeler,0,0,1
3/21/20,Yamhill,4,0,94
3/22/20,Baker,0,0,1
3/22/20,Benton,4,0,73
3/22/20,Clackamas,12,0,266
3/22/20,Clatsop,0,0,32
3/22/20,Columbia,0,0,35
3/22/20,Coos,0,0,35
3/22/20,Crook,0,0,5
3/22/20,Curry,0,0,12
3/22/20,Deschutes,10,0,75
3/22/20,Douglas,1,0,40
3/22/20,Gilliam,0,0,1
3/22/20,Grant,1,0,0
3/22/20,Harney,0,0,1
3/22/20,Hood River,0,0,17
3/22/20,Jackson,2,0,176
3/22/20,Jefferson,0,0,5
3/22/20,Josephine,1,0,21
3/22/20,Klamath,1,0,37
3/22/20,Lake,0,0,0
3/22/20,Lane,4,1,152
3/22/20,Lincoln,0,0,19
3/22/20,Linn,19,0,286
3/22/20,Malheur,0,0,13
3/22/20,Marion,22,1,197
3/22/20,Morrow,0,0,4
3/22/20,Multnomah,19,1,702
3/22/20,Polk,1,0,44
3/22/20,Sherman,0,0,0
3/22/20,Tillamook,0,0,9
3/22/20,Umatilla,2,0,30
3/22/20,Union,1,0,11
3/22/20,Wallowa,0,0,3
3/22/20,Wasco,0,0,10
3/22/20,Washington,55,1,456
3/22/20,Wheeler,0,0,1
3/22/20,Yamhill,6,0,95